Time,BS_ID,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_LOC_X,UE_LOC_Y,MAX_DR,DEMAND_DR,REAL_DR,BS_Tran_SNR,UE_Rec_SNR
0,0,0,0,2,240,86,-0.419934,-0.0462264,0,43,0.0786526,-1.19742,160,110,110,2.06995e-13,6.20984e-13
0,0,0,0,2,240,85,0.163231,-0.382916,0,44,0.219027,-4.21558,118,1,1,1.18718e-14,3.56155e-14
0,1,8.66025,5,0,0,99,8.91025,5.387,0,45,11.3522,5.20659,144,33,33,3.97355e-14,1.19207e-13
0,1,8.66025,5,0,0,98,8.91025,4.613,0,46,11.4313,2.62468,127,91,91,1.73829e-14,5.21486e-14
0,1,8.66025,5,0,0,97,8.91025,5.37926,0,47,9.49588,5.86124,160,65,65,2.06995e-13,6.20984e-13
0,1,8.66025,5,0,0,96,8.91025,4.62074,0,48,9.84853,4.03627,160,105,105,1.44717e-13,4.3415e-13
0,1,8.66025,5,0,0,95,8.91025,5.37152,0,49,11.0944,4.65324,148,53,53,5.09653e-14,1.52896e-13
0,1,8.66025,5,0,0,94,8.91025,4.62848,0,50,11.1617,2.33348,127,55,55,1.73017e-14,5.19052e-14
0,1,8.66025,5,0,0,93,8.91025,5.36378,0,51,11.2684,8.65606,114,49,49,1.01807e-14,3.05421e-14
0,1,8.66025,5,0,0,92,8.91025,4.63622,0,52,11.7583,6.01159,134,117,117,2.3691e-14,7.1073e-14
0,1,8.66025,5,0,0,91,8.91025,5.35604,0,53,9.9815,6.02282,159,155,155,1.23324e-13,3.69971e-13
0,1,8.66025,5,0,0,90,8.91025,4.64396,0,54,12.5745,2.57666,112,25,25,9.59045e-15,2.87714e-14
0,1,8.66025,5,0,0,89,8.91025,5.3483,0,55,11.1828,2.86588,133,98,98,2.28088e-14,6.84263e-14
0,1,8.66025,5,0,0,88,8.91025,4.6517,0,56,10.0421,4.19083,159,122,122,1.33492e-13,4.00476e-13
0,1,8.66025,5,0,0,87,8.91025,5.34056,0,57,13.3102,4.99085,111,11,11,9.36487e-15,2.80946e-14
0,1,8.66025,5,0,0,86,8.91025,4.65944,0,58,10.1642,5.63925,159,96,96,1.28595e-13,3.85784e-13
0,1,8.66025,5,0,0,85,8.91025,5.33282,0,59,9.56787,4.215,160,51,51,2.06995e-13,6.20984e-13
0,1,8.66025,5,1,120,99,8.2001,5.02301,0,60,7.6736,8.89195,121,54,54,1.34985e-14,4.04956e-14
0,1,8.66025,5,1,120,98,8.87041,5.41001,0,61,6.19296,5.86429,145,88,88,4.33315e-14,1.29994e-13
0,1,8.66025,5,1,120,97,8.20681,5.02688,0,62,4.93015,5.29823,125,66,66,1.62555e-14,4.87666e-14
0,1,8.66025,5,1,120,96,8.8637,5.40614,0,63,8.90473,7.20832,153,65,65,6.59176e-14,1.97753e-13
0,1,8.66025,5,1,120,95,8.21351,5.03075,0,64,7.89041,5.92051,160,87,87,2.06995e-13,6.20984e-13
0,1,8.66025,5,1,120,94,8.857,5.40227,0,65,9.14071,6.31853,160,33,33,1.66619e-13,4.99857e-13
0,1,8.66025,5,1,120,93,8.22021,5.03462,0,66,7.77613,5.81138,160,44,44,2.06995e-13,6.20984e-13
0,1,8.66025,5,1,120,92,8.8503,5.3984,0,67,5.35712,8.00594,114,25,25,1.03193e-14,3.0958e-14
0,1,8.66025,5,1,120,91,8.22691,5.03849,0,68,7.18757,6.03213,159,12,12,1.06564e-13,3.19693e-13
0,1,8.66025,5,1,120,90,8.84359,5.39453,0,69,5.90211,7.616,124,124,124,1.55864e-14,4.67593e-14
0,1,8.66025,5,1,120,89,8.23362,5.04236,0,70,8.21679,6.33272,160,117,117,1.66394e-13,4.99182e-13
0,1,8.66025,5,1,120,88,8.83689,5.39066,0,71,8.20657,6.11093,160,9,9,2.06995e-13,6.20984e-13
0,1,8.66025,5,1,120,87,8.24032,5.04623,0,72,7.87593,6.7765,157,75,75,9.03949e-14,2.71185e-13
0,1,8.66025,5,1,120,86,8.83019,5.38679,0,73,7.83959,6.07802,160,75,75,1.7568e-13,5.2704e-13
0,1,8.66025,5,1,120,85,8.24702,5.0501,0,74,7.47745,5.2024,160,114,114,2.06995e-13,6.20984e-13
0,1,8.66025,5,2,240,99,8.87041,4.58999,0,75,8.54711,1.82631,136,3,3,2.54472e-14,7.63415e-14
0,1,8.66025,5,2,240,98,8.2001,4.97699,0,76,10.174,1.99536,132,85,85,2.17036e-14,6.51107e-14
0,1,8.66025,5,2,240,97,8.8637,4.59386,0,77,7.46812,4.8628,160,16,16,2.06995e-13,6.20984e-13
0,1,8.66025,5,2,240,96,8.20681,4.97312,0,78,6.97608,4.17444,158,27,27,9.75245e-14,2.92574e-13
0,1,8.66025,5,2,240,95,8.857,4.59773,0,79,10.3314,0.858727,114,85,85,1.03216e-14,3.09649e-14
0,1,8.66025,5,2,240,94,8.21351,4.96925,0,80,8.86209,2.91248,155,25,25,7.57731e-14,2.27319e-13
0,1,8.66025,5,2,240,93,8.8503,4.6016,0,81,4.25944,3.95432,113,82,82,1.00052e-14,3.00155e-14
0,1,8.66025,5,2,240,92,8.22021,4.96538,0,82,9.37288,2.79027,151,129,129,5.90533e-14,1.7716e-13
0,1,8.66025,5,2,240,91,8.84359,4.60547,0,83,5.75948,3.17839,131,73,73,2.06605e-14,6.19814e-14
0,1,8.66025,5,2,240,90,8.22691,4.96151,0,84,8.0054,3.99443,160,68,68,2.06995e-13,6.20984e-13
0,1,8.66025,5,2,240,89,8.83689,4.60934,0,85,9.11845,3.89092,160,156,156,2.06995e-13,6.20984e-13
0,1,8.66025,5,2,240,88,8.23362,4.95764,0,86,9.02647,2.74826,152,76,76,6.17273e-14,1.85182e-13
0,1,8.66025,5,2,240,87,8.83019,4.61321,0,87,7.58721,4.46282,160,93,93,2.06995e-13,6.20984e-13
0,1,8.66025,5,2,240,86,8.24032,4.95377,0,88,8.76067,2.89136,155,44,44,7.4606e-14,2.23818e-13
0,1,8.66025,5,2,240,85,8.82349,4.61708,0,89,4.48099,4.94334,118,63,63,1.21739e-14,3.65218e-14
1,0,0,0,0,0,99,0.25,0.387,0,0,0.908945,-1.33196,159,53,53,1.31805e-13,3.95415e-13
1,0,0,0,0,0,98,0.25,-0.387,0,1,0.829058,0.867562,160,11,11,2.06995e-13,6.20984e-13
1,0,0,0,0,0,97,0.25,0.37926,0,2,3.09005,3.49885,112,22,22,9.27958e-15,2.78387e-14
1,0,0,0,0,0,96,0.25,-0.37926,0,3,1.84501,0.109194,158,68,68,1.00637e-13,3.0191e-13
1,0,0,0,0,0,95,0.25,0.37152,0,4,1.4518,-0.0550997,160,17,17,1.5775e-13,4.7325e-13
1,0,0,0,0,0,94,0.25,-0.37152,0,5,2.02141,-0.424261,156,155,155,7.8544e-14,2.35632e-13
1,0,0,0,0,0,93,0.25,0.36378,0,6,1.12179,0.426128,160,12,12,2.06995e-13,6.20984e-13
1,0,0,0,0,0,92,0.25,-0.36378,0,7,0.882556,-0.813078,160,121,121,2.06995e-13,6.20984e-13
1,0,0,0,0,0,91,0.25,0.35604,0,8,0.874773,0.821446,160,1,1,2.06995e-13,6.20984e-13
1,0,0,0,0,0,90,0.25,-0.35604,0,9,3.10382,2.29605,124,67,67,1.4959e-14,4.48769e-14
1,0,0,0,0,0,89,0.25,0.3483,0,10,1.37408,-0.867933,159,53,53,1.29914e-13,3.89742e-13
1,0,0,0,0,0,88,0.25,-0.3483,0,11,0.983576,0.687444,160,99,99,2.06995e-13,6.20984e-13
1,0,0,0,0,0,87,0.25,0.34056,0,12,3.61968,-0.274,128,52,52,1.76397e-14,5.29191e-14
1,0,0,0,0,0,86,0.25,-0.34056,0,13,3.88025,-0.680438,123,70,70,1.41851e-14,4.25552e-14
1,0,0,0,0,0,85,0.25,0.33282,0,14,3.22563,-0.841674,134,18,18,2.22587e-14,6.6776e-14
1,0,0,0,1,120,99,-0.460152,0.0230063,0,15,-1.18782,1.46666,158,129,129,9.62252e-14,2.88675e-13
1,0,0,0,1,120,98,0.210152,0.410006,0,16,-3.17295,2.32953,123,63,63,1.42151e-14,4.26452e-14
1,0,0,0,1,120,97,-0.453449,0.0268763,0,17,-0.932921,0.754757,160,93,93,2.06995e-13,6.20984e-13
1,0,0,0,1,120,96,0.203449,0.406136,0,18,-2.51986,1.84341,137,64,64,2.66713e-14,8.00138e-14
1,0,0,0,1,120,95,-0.446746,0.0307463,0,19,-0.581671,1.0496,160,107,107,2.06995e-13,6.20984e-13
1,0,0,0,1,120,94,0.196746,0.402266,0,20,0.497566,1.09198,160,107,107,2.06995e-13,6.20984e-13
1,0,0,0,1,120,93,-0.440043,0.0346163,0,21,-1.29354,0.102767,160,126,126,1.86842e-13,5.60527e-13
1,0,0,0,1,120,92,0.190043,0.398396,0,22,0.433937,3.34088,133,23,23,2.16231e-14,6.48692e-14
1,0,0,0,1,120,91,-0.43334,0.0384863,0,23,-0.35543,1.30163,160,148,148,1.76744e-13,5.30231e-13
1,0,0,0,1,120,90,0.18334,0.394526,0,24,-0.781613,4.2636,117,2,2,1.1108e-14,3.3324e-14
1,0,0,0,1,120,89,-0.426637,0.0423563,0,25,0.225154,4.9224,108,71,71,8.18769e-15,2.45631e-14
1,0,0,0,1,120,88,0.176637,0.390656,0,26,0.756817,1.64772,159,151,151,1.04763e-13,3.14289e-13
1,0,0,0,1,120,87,-0.419934,0.0462263,0,27,0.146319,1.6818,159,91,91,1.20912e-13,3.62737e-13
1,0,0,0,1,120,86,0.169934,0.386786,0,28,0.00956705,3.49742,130,68,68,1.95161e-14,5.85482e-14
1,0,0,0,1,120,85,-0.413231,0.0500963,0,29,-0.126734,3.1251,137,118,118,2.65417e-14,7.9625e-14
1,0,0,0,2,240,99,0.210152,-0.410006,0,30,0.206104,-1.18217,160,88,88,2.06995e-13,6.20984e-13
1,0,0,0,2,240,98,-0.460152,-0.0230064,0,31,0.00904419,-1.19997,160,25,25,2.06995e-13,6.20984e-13
1,0,0,0,2,240,97,0.203449,-0.406136,0,32,-0.634065,-1.0188,160,113,113,2.06995e-13,6.20984e-13
1,0,0,0,2,240,96,-0.453449,-0.0268764,0,33,-1.89193,-0.767278,156,39,39,8.06958e-14,2.42087e-13
1,0,0,0,2,240,95,0.196746,-0.402266,0,34,0.123545,-1.19362,160,53,53,2.06995e-13,6.20984e-13
1,0,0,0,2,240,94,-0.446746,-0.0307464,0,35,-2.4606,-1.45,142,136,136,3.40913e-14,1.02274e-13
